feature,mean_abs_shap
SALVADEHYPOX-PWY: adenosine nucleotides degradation II,0.0008588787162014016
PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast),0.0008578988685122541
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway),0.0008557378413653427
PWY-5989: stearate biosynthesis II (bacteria and plants),0.0008523975713307682
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,0.0008448036875357025
GALACTARDEG-PWY: D-galactarate degradation I,0.0008386623900164362
PWY3O-355: stearate biosynthesis III (fungi),0.000837826205074934
PWY-7199: pyrimidine deoxyribonucleosides salvage,0.000835332037374556
VALSYN-PWY: L-valine biosynthesis,0.0008345699309317522
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale,0.0008326343705866777
PWY-6895: superpathway of thiamin diphosphate biosynthesis II,0.0008318827866803407
P162-PWY: L-glutamate degradation V (via hydroxyglutarate),0.0008310214208897998
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),0.0008302216074750966
PWY-7221: guanosine ribonucleotides de novo biosynthesis,0.0008281079681088441
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis,0.000822025069551792
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,0.0008146948454924108
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase),0.0008113541264610161
PWY-5198: factor 420 biosynthesis,0.0008110180654144733
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens,0.0008027771643091823
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,0.0007961015349699984
PWY-6572: chondroitin sulfate degradation I (bacterial),0.0007948956592569819
PWY-4981: L-proline biosynthesis II (from arginine),0.0007935070976794028
PPGPPMET-PWY: ppGpp biosynthesis,0.0007916667044718232
PWY-6609: adenine and adenosine salvage III,0.0007889076088767425
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose),0.0007867189461289117
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I,0.0007825661422641736
PWY66-391: fatty acid &beta;-oxidation VI (peroxisome),0.0007822863973389158
