feature,mean_abs_shap
PWY-5189: tetrapyrrole biosynthesis II (from glycine),0.03647359
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,0.03644453
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica,0.03614822
PWY-7003: glycerol degradation to butanol,0.03580131
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47,0.035462085
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_salivarius,0.035401046
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae,0.03531011
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_leptum,0.034828853
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,0.034745645
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,0.03464681
PWY66-398: TCA cycle III (animals),0.034563355
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),0.034400783
PWY-5723: Rubisco shunt,0.034395497
"PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II",0.034251504
"PWY-7013: L-1,2-propanediol degradation",0.03405177
PWY-5392: reductive TCA cycle II,0.033526503
PWY-5941: glycogen degradation II (eukaryotic),0.03323716
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_ramosum,0.033129044
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,0.033007953
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis,0.03298638
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,0.03248818
PWY-5994: palmitate biosynthesis I (animals and fungi),0.032432955
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,0.032381974
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_145,0.032321222
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae,0.031553376
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii,0.031334125
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum,0.031257853
"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)",0.030896803
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,0.030810446
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale,0.030803781
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage,0.0306217
PWY-6595: superpathway of guanosine nucleotides degradation (plants),0.030605214
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii),0.030479975
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis,0.030416373
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_279,0.030299746
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",0.029645527
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,0.029639719
P124-PWY: Bifidobacterium shunt,0.02933886
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli),0.029286183
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_moorei,0.029285138
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis,0.029148925
P108-PWY: pyruvate fermentation to propanoate I,0.029044922
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance),0.028677901
PWY-6936: seleno-amino acid biosynthesis,0.02860367
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis,0.028560786
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_303,0.028260797
PWY-7392: taxadiene biosynthesis (engineered),0.028067285
P23-PWY: reductive TCA cycle I,0.02726027
PWY-7242: D-fructuronate degradation,0.02710098
THRESYN-PWY: superpathway of L-threonine biosynthesis,0.026673429
PWY-5265: peptidoglycan biosynthesis II (staphylococci),0.026657337
PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis,0.026466088
GALACTUROCAT-PWY: D-galacturonate degradation I,0.026326587
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens,0.026268898
PWY-621: sucrose degradation III (sucrose invertase),0.026136318
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia|s__Aeriscardovia_aeriphila,0.026025137
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation,0.025928427
PWY0-1061: superpathway of L-alanine biosynthesis,0.025873138
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,0.025732651
PWY-6305: putrescine biosynthesis IV,0.02555116
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis,0.02552801
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus,0.025515389
PWY66-367: ketogenesis,0.025311895
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii,0.02507606
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,0.02476424
"P125-PWY: superpathway of (R,R)-butanediol biosynthesis",0.024694541
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella_histaminiformans,0.02460144
PWY66-399: gluconeogenesis III,0.024553599
PWY-6531: mannitol cycle,0.024505831
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),0.024418956
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_83,0.024206892
RUMP-PWY: formaldehyde oxidation I,0.024079401
PWY-6385: peptidoglycan biosynthesis III (mycobacteria),0.024042087
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate),0.023974523
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila,0.02381967
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_251,0.02362013
PWY66-409: superpathway of purine nucleotide salvage,0.023525562
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis,0.023522817
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques,0.023192205
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Catabacteriaceae|g__Catabacter|s__Catabacter_hongkongensis,0.023158753
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,0.023066707
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration),0.022741789
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose),0.022721691
PWY-6737: starch degradation V,0.022482818
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Intestinibacter|s__Intestinibacter_bartlettii,0.022373782
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus,0.022234414
